X,Y,Lr,Ch,Density,DoC,D1_D2,Lr_rAboveThresh
16684.028,27752.732,534478.567203418,2,0.00716197243913529,-0.160909976781542,0.00716197243913529,1
18085.184,25502.317,267239.283601709,2,0.00238732414637843,-0.431562094660466,0.00238732414637843,1
18104.321,25547.167,0,2,0.000795774715459477,0,0.000795774715459477,0
18067.087,25522.749,0,2,0.000795774715459477,0,0.000795774715459477,0
18952.255,26146.205,755866.838536813,2,0.0135281701628111,0.991100988853319,0.00716197243913529,1
18915.432,26093.118,188966.709634203,2,0.00159154943091895,0.75071263321216,0.000795774715459477,1
16646.822,27726.336,0,2,0.000795774715459477,0,0.000795774715459477,0
15116.672,24767.27,823686.790988886,2,0.0159154943091895,-0.639867788376667,0.0159154943091895,1
15207.471,24780.81,566900.12890261,2,0.00795774715459477,-0.357754972322881,0.00795774715459477,1
15150.461,24756.027,906252.502920394,2,0.0190985931710274,-0.749981683361598,0.0190985931710274,1
16745.872,27716.297,499958.919762255,2,0.00636619772367581,0.323359470940713,0.00636619772367581,1
18105.636,25524.448,422542.408226543,2,0.00477464829275686,-0.456711477520989,0.00477464829275686,1
18051.603,25567.949,0,2,0.000795774715459477,0,0.000795774715459477,0
16671.244,27747.552,377933.419268407,2,0.00397887357729738,-0.266312342172569,0.00397887357729738,1
18145.245,25521.223,499958.919762255,2,0.00636619772367581,-0.42392710693998,0.00636619772367581,1
16769.623,27163.987,0,2,0.000795774715459477,0,0.000795774715459477,0
18006.671,25528.556,0,2,0.000795774715459477,0,0.000795774715459477,0
18112.856,25503.816,499958.919762255,2,0.00636619772367581,-0.488504115503453,0.00636619772367581,1
18047.935,25478.887,0,2,0.000795774715459477,0,0.000795774715459477,0
18116.712,25510.809,566900.12890261,2,0.00795774715459477,-0.475993745776447,0.00795774715459477,1
17101.594,26430.475,1068957.13440684,2,0.0262605656101627,0.987071163012878,0.00397887357729738,1
17143.304,26487.607,188966.709634203,2,0.00159154943091895,0.703773161273247,0.00159154943091895,1
17097.327,26452.15,801717.850805127,2,0.0151197195937301,0.98284061833134,0.00477464829275686,1
17113.867,26471.243,462872.016976468,2,0.00557042300821634,0.891712544220014,0.00397887357729738,1
17109.121,26457.312,845084.816453086,2,0.016711269024649,0.918140383013087,0.00477464829275686,1
17124.602,26481.329,422542.408226543,2,0.00477464829275686,0.796844544077554,0.00397887357729738,1
