ClusterID,Number,Area,Circularity
1,9,2353.5760347428,0.931169948025207
2,3,49.388828468142,0.994072547339371
3,4,647.480506566108,0.993095370413869
4,9,1446.12416467088,0.980567886212334
5,51,8113.05717385263,0.856467705837355
6,8,887.981448759248,0.979207021054736
7,7,1946.36971839327,0.971089764928898
8,18,3350.49383515935,0.980366505897869
9,47,8126.87623259966,0.957485955719569
10,19,4453.28860625651,0.88828623888334
11,8,1820.8648787735,0.888648242806706
12,7,636.13382857047,0.978970115817834
13,37,3308.7040665716,0.986686670547802
14,13,2361.46118370836,0.985830354370066
15,13,2989.122755375,0.88932174999653
16,89,10559.905158894,0.963313878817664
17,3,155.77366302333,0.997220677361819
18,23,5906.55480427438,0.926465639362228
19,98,9385.07475270696,0.907222403246274
