Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
23212,,Spot,1,Image 1,1,1001108722,1108722
27428,,Spot,1,Image 1,1,1001108880,1108880
36856,,Spot,1,Image 1,1,1001108915,1108915
34548,,Spot,1,Image 1,1,1001108958,1108958
28008,,Spot,1,Image 1,1,1001109002,1109002
31992,,Spot,1,Image 1,1,1001109104,1109104
25700,,Spot,1,Image 1,1,1001109146,1109146
29144,,Spot,1,Image 1,1,1001109241,1109241
27788,,Spot,1,Image 1,1,1001109298,1109298
28372,,Spot,1,Image 1,1,1001109419,1109419
38296,,Spot,1,Image 1,1,1001109441,1109441
22996,,Spot,1,Image 1,1,1001109487,1109487
26820,,Spot,1,Image 1,1,1001109538,1109538
23312,,Spot,1,Image 1,1,1001110105,1110105
30064,,Spot,1,Image 1,1,1001111580,1111580
33448,,Spot,1,Image 1,1,1001112749,1112749
27644,,Spot,1,Image 1,1,1001113839,1113839
42476,,Spot,1,Image 1,1,1001113852,1113852
31924,,Spot,1,Image 1,1,1001113875,1113875
32356,,Spot,1,Image 1,1,1001113891,1113891
29692,,Spot,1,Image 1,1,1001113909,1113909
37336,,Spot,1,Image 1,1,1001113935,1113935
28676,,Spot,1,Image 1,1,1001113998,1113998
29916,,Spot,1,Image 1,1,1001114033,1114033
31292,,Spot,1,Image 1,1,1001114083,1114083
35028,,Spot,1,Image 1,1,1001114155,1114155
35360,,Spot,1,Image 1,1,1001114212,1114212
31580,,Spot,1,Image 1,1,1001114228,1114228
29616,,Spot,1,Image 1,1,1001114259,1114259
34056,,Spot,1,Image 1,1,1001114859,1114859
39124,,Spot,1,Image 1,1,1001114914,1114914
35332,,Spot,1,Image 1,1,1001114932,1114932
34192,,Spot,1,Image 1,1,1001114970,1114970
41316,,Spot,1,Image 1,1,1001114996,1114996
27716,,Spot,1,Image 1,2,1001108722,1116021
29400,,Spot,1,Image 1,2,1001108880,1116186
41412,,Spot,1,Image 1,2,1001108915,1116218
34584,,Spot,1,Image 1,2,1001108958,1116260
30016,,Spot,1,Image 1,2,1001109002,1116294
34952,,Spot,1,Image 1,2,1001109104,1116384
28544,,Spot,1,Image 1,2,1001109241,1116498
26700,,Spot,1,Image 1,2,1001109298,1116561
32836,,Spot,1,Image 1,2,1001109419,1116668
29780,,Spot,1,Image 1,2,1001109441,1116693
27012,,Spot,1,Image 1,2,1001109487,1116737
23344,,Spot,1,Image 1,2,1001109538,1116779
22148,,Spot,1,Image 1,2,1001116942,1116942
24328,,Spot,1,Image 1,2,1001110105,1117301
30212,,Spot,1,Image 1,2,1001111580,1118744
31812,,Spot,1,Image 1,2,1001112749,1119869
32964,,Spot,1,Image 1,2,1001113839,1120935
38508,,Spot,1,Image 1,2,1001113852,1120945
30368,,Spot,1,Image 1,2,1001113875,1120974
31588,,Spot,1,Image 1,2,1001113891,1120988
31076,,Spot,1,Image 1,2,1001113909,1121010
39164,,Spot,1,Image 1,2,1001113935,1121034
31364,,Spot,1,Image 1,2,1001113998,1121092
31920,,Spot,1,Image 1,2,1001114033,1121129
31876,,Spot,1,Image 1,2,1001114083,1121181
33168,,Spot,1,Image 1,2,1001114155,1121246
43308,,Spot,1,Image 1,2,1001114212,1121301
26728,,Spot,1,Image 1,2,1001114228,1121319
43176,,Spot,1,Image 1,2,1001114996,1121323
30500,,Spot,1,Image 1,2,1001121359,1121359
36968,,Spot,1,Image 1,2,1001114859,1121926
42420,,Spot,1,Image 1,2,1001114914,1121987
40604,,Spot,1,Image 1,2,1001114932,1122000
34532,,Spot,1,Image 1,2,1001114970,1122034
26784,,Spot,1,Image 1,3,1001108722,1123064
27640,,Spot,1,Image 1,3,1001108880,1123233
37600,,Spot,1,Image 1,3,1001108915,1123261
37680,,Spot,1,Image 1,3,1001108958,1123307
29520,,Spot,1,Image 1,3,1001109002,1123342
33360,,Spot,1,Image 1,3,1001109104,1123429
26440,,Spot,1,Image 1,3,1001109146,1123463
30212,,Spot,1,Image 1,3,1001109241,1123556
30292,,Spot,1,Image 1,3,1001109298,1123615
30820,,Spot,1,Image 1,3,1001109419,1123717
